rank.sign.logp.heart	rank.sign.logp.lung	rank.sign.logp.kidney	rank.sign.logp.spleen
1142	825	12547	11342
680	13	13720	6243
1739	1940	13255	10057
2811	7840	2310	7035
12295	10573	8702	4131
12314	6620	12143	9602
10788	11610	11565	7480
13585	10776	8085	7403
13310	12158	10370	9476
702	2015	2870	2010
13412	11960	4078	12804
11702	14235	5238	11387
11943	5188	12869	4785
14221	15239	15358	15344
11024	7087	13718	14522
10545	12901	9812	14596
12004	10445	13372	12202
13279	6879	15128	13904
9169	11739	15241	11042
11862	11752	11813	9790
3888	4110	9958	10171
8719	13019	13056	13370
2251	2325	5078	9613
12932	3574	10791	4520
14717	15221	14832	15326
1104	175	1323	1122
15308	14494	12077	13955
4110	626	1768	1575
11677	3138	5532	521
7648	11220	9739	14607
10188	8360	216	4149
6219	4120	7474	7463
10743	9133	9791	8214
7429	10063	8105	8478
4270	6988	2476	4704
8287	13091	9636	8040
13984	13364	5559	13620
1785	1114	2515	3205
5948	6469	1286	10553
12440	14814	9845	14266
11763	12738	10600	14055
10902	9896	3493	8868
11056	12134	742	10512
10255	7152	2882	4393
10847	13446	11431	12383
13254	14095	7762	13575
5065	5979	5141	10900
3332	4966	1064	11761
9885	7887	8392	12159
2816	5842	1785	5892
9926	1897	4157	2963
4734	13471	2153	11563
7366	11855	8877	3215
8064	12599	6732	10591
7839	13951	13052	15180
3012	779	8557	2337
13648	13858	14230	15093
13212	11751	12509	13549
13863	4738	11979	2239
14832	12000	10865	12446
9853	2718	9773	10174
11655	12499	13530	14553
13391	10015	7443	4010
385	2296	1513	237
2612	3187	3631	684
10358	12842	11170	6171
14807	13320	7074	11598
14723	14688	14373	14251
10628	14420	14017	12993
4864	4147	9608	4167
14140	10233	3125	3163
15392	15090	14938	15107
14149	13314	11757	14053
4824	847	11003	3684
14433	12423	10578	11298
448	5277	429	5096
4837	1249	3249	3015
12561	11979	11488	4800
7754	3845	2519	2987
13995	12187	1129	14301
10240	107	2739	4781
10574	6096	8772	4238
12998	11699	10177	14684
13286	11278	13821	11185
11574	13954	14088	14722
7060	876	93	1036
7168	5218	1169	3171
10130	7624	13280	8642
11718	8852	7630	12212
14949	14987	2424	14165
4151	1552	3532	3572
13294	9959	1103	4709
11114	7151	3173	7057
8471	11738	12099	14827
7897	7924	9123	7908
9411	11864	10382	11946
9459	15230	3438	13493
4700	3538	1318	9382
12501	2380	10402	12066
2983	1052	1931	4283
13857	13592	15418	11249
15408	14940	15412	15198
11088	11315	6325	6437
3448	6298	11696	6455
1216	194	4246	1601
292	4345	11146	2244
6580	1408	5931	2760
2650	620	4957	1393
10779	3069	3355	1368
10090	10349	8455	9824
14353	14000	12412	11454
2366	6151	8696	6883
14150	10169	11091	7867
8814	6909	14162	13136
68	2493	113	1534
13251	12721	13194	5169
11744	8424	13640	9607
14145	10768	13283	13413
