rank.sign.logp.heart	rank.sign.logp.lung	rank.sign.logp.kidney	rank.sign.logp.spleen
4588	834	561	1789
6009	12372	5117	12106
4165	12892	5798	8678
89	938	1232	3843
9846	6041	2642	693
7953	10838	3582	5416
13112	12315	12918	14381
105	1733	946	90
7700	7319	9127	12851
6845	9620	12116	11709
1776	9467	7792	6300
3367	12110	12279	10108
13575	12655	10707	11490
14621	15145	14838	15058
5000	3895	14192	3805
12842	12447	12472	14594
11470	5709	10675	12337
201	733	3497	2886
975	1466	4269	2586
750	4733	5113	1690
10111	5862	14521	5380
4888	6971	9356	7082
15071	12287	10816	9945
10080	11727	10191	10079
3462	7149	2701	6379
11611	14210	3923	7339
1887	2578	12365	8937
4399	11821	11279	12434
13435	15319	14699	14930
13785	13530	12770	14456
1621	4659	3792	3619
10923	12512	8276	5759
7666	4762	9699	4846
948	2005	1504	308
13305	12700	12837	13625
439	14160	14744	5791
7471	8359	4947	7889
5062	4772	7943	5277
11758	5451	12591	7313
2542	158	1765	1557
129	2	1031	2733
3079	8744	11219	7536
1566	2108	11365	295
470	2447	6619	4498
4132	462	2466	8702
1062	56	2394	6059
2099	121	2692	9254
1284	291	2914	1336
4394	890	13368	10439
2084	5704	4571	5771
7474	13000	4565	13801
1183	8323	8639	9095
12212	13697	10563	13662
5309	13846	9198	14564
9265	11298	13707	9924
1702	5986	1006	1957
12578	12044	12165	12616
10024	10387	6518	6578
14518	13346	15340	13760
15227	14146	15119	15043
14406	15014	14824	14326
14810	12736	14030	7645
6411	12338	13998	14091
1909	4784	13103	10026
1977	2150	9199	14421
2590	6403	7488	5909
4813	13790	12895	10688
13063	3813	9977	11022
5568	4730	2429	6969
13048	8068	14392	4523
9842	8516	12256	4271
6186	3607	3287	6356
726	1048	1740	2459
14556	11304	14139	11508
9538	7488	5602	8430
6610	1631	7818	7169
5732	13725	11517	11470
1663	452	10501	3790
979	3610	11168	7921
11413	9200	10436	11112
2736	217	7252	10649
5898	10521	6989	12783
243	5165	6335	5522
6322	5124	12623	8718
9027	15345	14209	13528
13718	13557	14588	12854
2704	8801	9731	7538
13768	2746	8915	983
13844	8609	539	6135
7051	11701	12702	9348
8857	5509	8364	2635
1068	1068	1825	5030
11363	4520	11605	4799
14845	15216	10559	14922
7563	11404	12448	11262
8527	13612	5999	8583
9864	14811	8775	11527
5508	9738	3626	6788
12825	201	1805	214
882	1456	4860	3789
13523	13549	15405	12685
13007	5680	6368	4531
9324	13685	7967	7827
12692	14451	15252	12756
5567	6939	4741	8302
4701	2274	9933	1224
11455	10852	10246	10908
1936	4841	4936	2882
2567	20	4414	1775
14598	15049	15194	13833
12277	13480	14943	13441
10430	6392	7671	11553
7877	6992	9142	3216
5439	6793	10059	9688
5462	7780	2746	8272
10966	9399	10637	9301
12497	14346	14320	10929
11817	3748	6687	4101
12325	13610	14646	13847
6632	6537	13344	7436
12112	9222	14716	11860
5412	3592	4791	2583
6901	2312	6111	3944
1950	3101	4842	2440
11477	12189	11825	6677
11605	3977	5384	4697
13549	14531	11429	13632
10404	5384	8388	8920
822	6310	10473	10237
9967	6366	5155	13686
431	864	1081	383
4180	2563	939	2122
10768	9373	13090	12829
1521	3415	2269	1993
5188	3763	8326	5195
10795	12246	7826	12576
6104	3815	5604	5720
8060	1170	4551	7314
7021	6273	11019	7999
6706	2158	8626	10131
4645	5344	3383	10708
13413	10425	3918	12809
2178	1559	1479	1650
991	691	2674	10315
11463	8195	11262	6860
11426	10260	11078	10403
4235	5044	6174	7790
15115	14137	15036	15113
7627	11391	7407	9737
1923	4314	522	601
5917	5404	915	1034
11507	9651	12321	11353
4617	8525	10755	8677
1889	2295	2327	356
5870	5902	6131	3401
4358	1272	323	211
1255	929	3508	868
1630	5989	2624	2872
6000	12261	6490	12085
10147	14589	2590	12780
6841	13574	13010	10766
3308	3109	4433	7565
6909	10524	9344	6503
5131	12762	13441	9312
13223	14578	1670	12526
13659	10635	12966	12414
9865	7051	9927	11125
15096	12781	13752	12544
7282	6320	8368	2579
3824	13173	6467	10213
3865	3427	8429	3115
13981	7332	2148	2004
10245	5955	1792	1039
9637	5828	2358	2729
12971	5452	13349	7710
7934	2492	3503	3704
2772	4333	1705	5192
556	4490	239	3211
14040	14068	15034	13828
11802	11350	13786	12001
9029	11827	4625	10118
5999	9853	12572	12250
2065	5848	11181	3867
11467	14387	11840	9943
2848	5813	10495	10783
15070	13283	11969	13933
10086	7481	12216	9633
11728	13072	12300	10974
6886	11743	9799	13200
9254	5272	3938	10388
3565	11012	6540	7360
12287	10752	12277	8505
7565	7836	1133	11843
8608	11372	11274	11154
5169	2565	5776	912
10231	3070	6215	5353
9486	13032	9689	13983
10612	10234	11203	12911
4401	12426	13623	6993
13649	11296	15381	10443
7814	9586	9952	9810
5269	11782	14648	12045
8459	5543	5821	3880
1334	3551	3385	2165
4227	7847	6857	6741
5367	720	8741	3101
3201	389	2138	1925
9479	12673	13589	13335
5087	14663	14408	12986
6640	10136	13395	11425
3269	408	2256	3439
3492	2363	2047	1716
425	959	1588	1113
5097	2091	10392	7748
12097	8696	9938	9818
12275	10124	10466	9977
3145	5651	5544	5007
5268	2084	4946	1447
9231	1906	10161	1998
6050	9730	4101	4984
4547	7136	2081	1217
12550	14036	3124	11150
14459	14723	10712	14427
942	10204	5466	2272
1102	4994	4258	930
869	1395	1511	787
4133	5626	12128	6297
1281	3509	6251	10043
5446	4101	5883	6050
12467	12460	11428	13018
1374	643	5121	3449
13887	14100	11341	15033
11321	8204	9549	12109
9769	10207	9338	6747
10212	5270	11642	7945
6384	5244	9744	6575
12077	7185	14787	7335
5791	12505	12179	6422
3072	6926	9015	1980
10624	5011	7059	3914
2798	6459	7656	6929
8544	8210	7010	8712
2389	49	11791	3156
11979	3640	1647	5555
654	1934	10225	5721
3971	3159	11343	2862
6259	3776	5830	3823
2743	11780	3362	3366
3470	10077	3692	5718
6176	983	10186	4834
10935	9673	5474	5491
7040	858	3095	7955
13934	11432	9454	13702
3628	7212	4410	2551
9087	6453	7251	4112
9507	5087	12207	10262
9882	12951	12532	15090
10361	14718	9179	14415
6872	9629	3983	4898
5241	10126	9187	9860
13248	2760	12768	5950
8430	2054	3060	7468
8779	12945	1325	12177
4993	1764	3444	3284
1945	1319	3674	339
6763	9800	5503	8258
1520	6979	37	2363
4909	11163	5364	10448
12464	12094	873	13889
4882	1499	486	4884
15054	9231	1954	13181
8109	11038	14172	12335
12981	3493	1308	2476
10872	5055	5454	7818
14183	12411	11568	8392
824	5454	35	3310
4083	10065	4610	9374
2275	4421	2043	2679
4870	6312	8083	4440
6325	13995	11641	13898
4748	10940	2131	11287
4767	8025	2793	2223
11736	10343	11434	11046
3530	1064	2340	2896
10757	14511	4566	9822
13696	7618	10153	5456
2805	4512	9617	6114
2696	739	8618	761
1338	829	3968	2480
1543	2488	2646	1974
4753	10437	8783	10466
10116	13499	12831	11635
2974	5677	5471	3900
876	1209	2118	1329
7742	12386	12106	13714
10815	5437	9522	7444
12223	9453	10127	12814
13499	13367	5775	12836
10837	7591	6690	9867
12761	8110	11817	12474
8885	1316	8460	8540
10692	1197	10162	5142
11430	6572	3130	8358
1226	12720	9609	11394
3576	8189	9684	8628
8439	9495	2907	8081
5364	3664	4356	1659
6604	10860	8165	11034
1341	1016	1879	1324
14278	3088	14613	10787
8753	10252	10832	12204
10753	12507	11496	11380
1422	2099	1253	4906
691	5999	551	8984
5036	2747	195	3492
5662	3298	4562	4245
13529	6223	7998	6498
14706	14349	13646	14768
9617	12003	14511	12305
14315	15026	15039	15268
10034	8887	13396	8692
14236	10041	7820	4967
173	1857	530	337
7390	8343	11476	8486
5352	7826	10651	9388
6242	10338	4540	10084
5873	3269	6550	6285
12507	12436	13243	14489
13924	11889	12021	12483
10113	9768	5649	7340
8776	7607	7400	10572
7516	11917	10193	13387
2755	6022	5041	5415
4532	4620	9431	5452
11442	8216	6086	4419
4711	4484	2318	3050
7579	2835	2727	2371
5273	2377	8106	5051
5141	1546	5394	5689
9561	6197	6263	6191
7022	6499	11610	12232
5040	8344	7434	12388
13152	8120	1448	5299
11726	8709	10087	9965
8888	8962	10478	9620
4107	7164	3185	9438
6296	14279	9363	9006
13189	14158	6343	9575
10551	12959	13057	6621
14304	14883	13755	14162
15395	15443	15454	15257
5836	4607	8593	6116
2566	2911	4622	1535
11693	9470	2587	7021
10776	7672	9417	6272
12403	12319	14418	13150
4729	2031	4014	6373
3442	10451	3236	3493
4470	2781	3662	4502
10385	12225	10238	10937
15091	9272	14000	10223
15382	15038	13389	12105
3846	3657	3675	3129
8993	4698	3030	4888
8371	7340	10200	9109
14963	15450	15209	15281
2865	7283	5786	4063
11497	6624	435	6277
6402	10494	6286	4035
7422	5069	4243	6805
7247	13455	10527	12032
9907	12262	11796	12638
9442	13991	13253	11256
7895	8442	6994	7627
10139	5469	14032	6810
13098	11219	13912	10124
5911	9443	3842	9728
13222	12927	5115	14533
9635	12217	14410	11223
4504	12060	8695	8096
2091	42	504	825
13158	10777	7536	12556
1016	711	4660	534
3923	15263	6722	10795
8392	6253	2504	4019
7006	9935	6245	4848
14449	14144	11220	14953
7039	12630	13377	13670
7545	11097	8809	11435
9166	10780	11781	11799
7235	8461	6846	7875
12601	11338	11685	9911
10416	14049	8336	11096
7331	3355	9696	2919
13766	13149	7553	11661
11027	11728	14655	10789
4850	10982	8577	9226
9354	13126	12197	9531
836	5418	3300	8707
8891	2779	4137	6547
3336	4223	11100	8514
6658	9823	3120	9412
3401	3855	6443	8488
12948	10300	6030	7713
11396	11597	9733	8047
8783	14738	12389	11609
3558	11332	8703	8527
10622	9671	1359	4180
1500	278	1574	3035
1741	2904	942	2860
3435	3315	3974	1973
13042	15136	13190	13421
8804	10418	13712	13241
2364	11075	15256	14997
9241	7021	9320	2568
4505	7297	13898	9791
11199	7247	7695	4365
8186	8603	3726	9979
12400	13220	13166	10853
7764	7797	5279	7281
10950	6228	12420	10656
5683	6569	4450	5897
1584	1358	2181	635
6063	5598	3546	7413
6306	8795	3463	5289
1127	13064	10388	9574
433	165	698	233
7417	6080	7838	6346
9803	15306	11863	13367
12426	10658	12019	12073
1900	2851	294	657
10185	11249	11673	8377
689	352	499	110
8562	7196	9283	2241
12767	8830	10764	9817
14384	10987	2007	12399
4886	13864	10367	13434
15157	14541	14086	13090
51	1399	154	464
1542	7506	6774	3496
1567	4766	3427	1360
12421	11362	11151	12757
4954	5924	3550	5207
2320	788	5187	4634
10237	9357	14253	14158
9929	11013	4736	4426
8693	5770	10453	11200
12602	13699	12486	14857
9646	12091	5542	5454
1844	10168	11756	14179
8384	6915	13498	7205
11094	2453	11016	8397
8583	6701	6445	7588
6930	4815	8095	6849
2642	3785	11566	8001
10814	4034	10199	11782
10555	7215	2986	13972
11582	7368	11064	10525
15427	15459	15322	15289
15293	15372	14506	15210
14884	14624	15365	15075
6925	8807	6849	5016
7556	14350	2902	4859
8950	8970	1164	4418
5256	12782	9381	9261
11818	13264	7940	13040
14189	14746	13911	15327
9679	15058	14310	14129
7665	7057	2582	7838
15362	14402	15384	15165
4986	6127	5862	12456
2173	7604	10577	7466
11963	9521	8152	4269
3494	1148	723	3162
4201	4700	569	2630
11230	14925	13783	12054
7288	11486	4588	10349
7483	10014	7950	4849
8887	13719	10310	13585
12367	14671	12536	13526
3311	3306	11888	6934
5725	12751	5217	12593
4524	11411	5203	5824
13378	9419	14166	13148
7362	9287	2651	11789
10678	12173	8385	11124
607	1040	2967	2605
6200	9498	4701	10862
7860	8058	8755	6239
8346	2526	3694	3473
8578	5892	2913	6229
15398	14832	13446	14834
14912	13145	12012	12415
2456	4627	3721	3299
3288	5679	6087	5741
10750	3703	207	4450
11717	5762	10299	1727
12824	11935	10859	10687
7010	5791	2773	3501
10798	10746	70	8024
8232	9989	8486	9729
14314	14532	13400	14846
13438	11327	12097	11639
9463	11910	5679	10807
11454	13818	6542	11817
5504	4803	6603	4863
5826	9432	8011	10185
9060	9339	8386	4048
2689	6630	1699	3733
7755	3685	1085	5175
622	840	295	861
12753	10186	9984	9150
12308	11031	6396	11126
11778	7470	2237	9850
5059	4472	11833	12473
10346	7859	6095	4148
9982	14234	5926	12276
13431	15082	12820	14873
1066	9243	10754	7526
9998	7467	3543	7460
4697	13375	8228	9567
7132	3544	7041	3895
3625	3334	5043	3002
5400	7130	7305	4105
3608	3858	1891	2169
8161	6920	5127	7260
11104	7330	10615	13068
5611	1603	3620	10410
4163	863	6050	9887
13175	10763	8819	11458
210	595	2930	2274
12347	14630	13081	15199
13507	12853	13643	14793
4671	10654	9365	11194
8627	10456	11520	8760
4332	7782	9246	3528
4612	1215	9466	11386
4273	3062	5886	3114
9150	5635	10988	3270
8214	8626	9420	10702
7244	5783	4644	391
6740	6732	9364	6549
1348	265	4303	5103
13065	1763	2219	2094
4118	5879	4198	5180
1967	7392	1124	2640
1991	2114	1719	1721
9423	14614	14105	8209
6938	2772	10704	7171
13502	9015	1203	5942
10369	5876	3423	4626
12395	10625	10713	12647
13515	3698	4591	1632
1430	395	3798	4158
7323	11260	10660	8254
7454	1188	7478	8464
5998	5643	12428	9931
6871	372	11396	3415
5473	10694	11570	9878
12906	11552	14662	15003
13338	9818	4612	9656
3158	1381	10128	6209
1437	4605	2293	5623
4089	9167	4443	12084
7019	4361	4021	7819
10038	12878	8566	4828
15464	1236	14203	8985
12031	11143	9736	11969
9797	7426	10567	14588
12581	7302	14186	8855
1564	5700	4202	12692
12065	13166	14761	13217
13538	13678	14246	14336
13720	1279	3094	2109
6991	10408	6589	6441
3503	9743	9620	9906
7808	3618	5223	6488
11836	9527	7487	5339
8465	5916	6348	5577
860	8022	9907	7405
10853	8743	10265	6024
3835	10549	7504	6485
14196	2974	10573	11348
7719	6945	8485	7196
6711	6959	10005	7711
3015	3598	9261	8075
4883	8969	5627	6027
2828	10441	7187	9570
12511	11376	6465	10032
14441	15042	15075	14067
2981	3031	2503	2803
3068	12568	8830	10427
12336	13169	14910	14234
5951	10645	13688	14617
13812	12679	5519	11184
15465	370	14244	6041
6842	1892	5839	4683
8564	6528	10703	9118
10062	718	9182	4551
12283	6092	5055	7395
906	1800	573	998
10572	10697	8581	5257
10169	11517	10889	8977
8358	5652	10159	5254
11738	1962	1747	3505
217	12283	6004	7791
5589	12694	5857	14161
4890	6482	6606	4066
8897	4597	3980	10387
15402	15457	15333	15454
14777	14029	5773	13165
8402	12875	6959	8606
2201	7154	10602	6228
3806	5246	5090	1560
13698	14124	7926	13574
2215	1980	2016	456
14242	13076	15147	13811
2278	4351	3369	2790
11077	14540	12092	13829
14628	2841	12195	10109
913	4100	9646	8022
14037	14249	12975	13964
2669	1637	97	458
740	10431	10085	10244
14356	11835	10731	13027
11461	9842	5254	2097
7916	8089	1281	5888
14479	8486	10788	7470
2714	3235	1043	6102
85	1086	9489	3005
13055	7061	14726	5394
2009	4913	1440	4616
5919	12298	4878	6118
9114	5617	1706	2235
2060	3937	2177	665
456	854	65	832
14117	13057	12780	12785
3840	8394	7088	8715
106	497	3506	3187
9361	10552	1219	10634
634	827	989	3792
4799	4748	4640	2348
4150	9692	3374	12881
3659	2156	2142	8225
2721	9615	8073	11371
14476	14213	13588	13624
1562	1674	12461	1742
12451	10799	14947	9060
2139	4447	14264	7687
6864	12285	14488	12606
15253	12714	10372	11495
14225	13698	9868	13877
10015	11335	6827	14537
4451	5918	14414	9835
2175	231	5400	3724
4121	2125	3741	1584
14613	14740	15162	13973
10983	2402	12710	1691
15015	14574	14807	15221
8684	15061	14831	13914
14766	14342	12070	13727
6649	4249	8133	7036
2184	8227	465	2674
9949	8276	13211	14648
9602	9023	9474	7544
11169	14896	14863	15293
10084	12819	13064	14903
10057	13402	14486	13698
12454	11459	13379	13289
13633	10393	13955	9797
7048	9528	14031	11590
13752	14038	12506	11373
14990	12237	1089	10946
9185	2120	11620	6266
1775	8157	13796	13185
11308	12171	10744	10011
10194	5290	5275	7520
3635	8160	8290	5925
1381	12005	9264	6613
3869	3040	3251	6318
15109	14292	13945	13737
10137	11850	12844	5778
15315	14429	15368	14519
3540	10672	10204	5402
4109	11765	5413	10031
12039	9632	9009	5857
10153	8364	13016	11848
13621	9293	12672	14599
4267	8287	6571	10660
3135	11146	3142	3398
6294	4725	6927	8725
5185	10239	6769	8482
8881	5601	7531	6895
14926	13425	12890	14958
1050	1160	730	591
13147	11794	8293	9690
4447	6739	6375	2510
4454	10759	12362	13050
4450	2803	629	13444
321	132	14561	3561
9043	12295	5615	11626
10716	13878	3231	12133
11385	8658	10069	7369
15060	14096	12287	14603
8852	12121	3410	4223
5993	7158	5028	9598
11976	11665	13107	10006
10707	9650	12213	9124
4001	6265	9820	7456
10587	9889	9252	10362
10088	14319	9929	10385
4290	11433	5505	4479
10082	8345	7135	8403
9374	10732	8400	6945
15140	15084	15148	15333
14502	11809	14042	13446
14759	14706	15022	14882
10870	9003	3641	13532
7202	5694	5699	8676
8732	12233	7364	13942
8825	9980	11983	9920
13641	10537	14257	11226
13946	14051	13691	9059
13942	12001	13421	13753
11207	10375	10234	11172
4659	10334	9418	6088
13353	12241	14425	7103
5969	8593	11323	8352
10655	6175	8321	8530
14455	15344	13617	14910
8048	12376	12349	9755
4718	11492	7765	13331
10270	13001	4740	13573
3178	5998	5197	8913
14202	10953	11763	11813
1988	1122	1624	1628
9484	4357	6515	12217
11638	4215	5985	11972
4497	5357	3944	997
3123	4112	7586	5204
12462	12769	10244	4473
9753	10861	6764	2792
9012	93	10250	8911
13301	6058	11601	9230
4960	8996	8232	6527
3993	7872	10274	2053
14340	13690	13547	13645
1759	851	3275	5733
8016	6430	6300	7119
7151	11678	12253	14140
890	1788	7728	13495
5759	8568	12328	5931
10822	13282	11351	7266
2386	8625	6125	9163
11154	11958	4140	7137
4486	13453	8596	6629
10145	9595	10867	9915
3215	8906	6493	8557
10076	11121	8159	14831
14386	12147	14158	13598
12764	13411	13746	13134
14474	11617	14232	8418
15417	13159	15186	14862
8996	9191	2885	5324
3682	8572	7529	8093
3672	9487	4045	12120
8496	6823	5181	6864
3054	8322	5734	7603
2656	9466	10201	7125
2310	9406	6615	9800
8143	5971	3153	6295
7227	14471	4070	8036
526	344	7086	710
11515	10564	5799	5411
15022	10574	5510	8293
10618	6930	13717	10574
15087	14175	5201	11113
14551	8613	8015	3143
14843	12479	9657	13014
3538	3455	2524	2301
11358	1137	6867	34
10663	4526	13218	4971
12272	8469	11967	13538
10834	4561	2119	10212
1874	939	326	3476
60	575	270	901
1748	1210	667	423
1225	5844	747	3896
15053	15341	9478	15397
15433	15336	15452	15298
9136	8868	4919	11246
9097	2738	12502	5578
6466	8459	11052	9067
12807	8779	2783	10211
6600	8669	4293	11153
5989	6219	6773	5431
3779	10148	2808	9366
11253	13988	11769	11895
9316	9164	11970	11767
10987	8931	1263	7649
3109	266	4486	74
14389	14192	13116	13320
1514	1873	7859	6890
581	2680	583	13630
9103	3924	2806	5216
8174	7881	1923	10715
3945	3909	11831	1536
112	541	2194	2928
14313	14604	12647	12304
12187	9978	13843	14107
14547	10693	14409	14743
4181	8307	12954	12821
9351	3300	2998	1241
5815	12219	10232	10826
6349	7242	6326	6394
2785	9233	11387	5666
4552	2198	2537	3536
8028	8385	12544	11476
11620	14305	9752	10149
12228	5366	9904	5039
11993	14026	13591	11302
5960	11516	4677	9512
9104	9596	3081	6699
11047	13658	4779	11201
1623	2112	2614	2517
4361	6070	12347	4154
12499	1813	2980	568
2031	874	2557	1444
3044	5052	7138	6460
8159	9833	9648	8132
12185	10998	6038	12603
2734	569	1358	587
15169	14902	13615	14124
10965	13646	14782	10422
8489	10404	11388	10733
8757	9789	12724	11001
10092	1467	103	555
14470	11200	10001	9027
10209	2869	2483	1855
15342	15370	15464	15455
10891	8611	4916	8259
7174	6072	6089	4119
4528	5984	6275	3413
12845	6457	13552	13477
1423	1119	10156	6244
7434	3295	8394	4665
7597	6076	871	9516
10898	12069	10534	11764
11287	13199	14247	12503
3168	5750	7095	7088
4902	2106	4809	5612
4798	5621	9588	9359
13002	9379	10665	11228
3210	5921	10235	1352
9641	10428	9354	6514
11910	12457	6066	2958
12929	13397	11275	7758
7902	11571	1117	3752
14134	14113	13742	13322
6769	8078	7115	4211
11541	7522	4016	7983
6145	2681	6965	3323
2744	12334	6761	6701
12001	13456	4998	14482
4969	5500	2665	3362
7146	10412	1642	4559
841	1027	411	1590
6459	1281	947	3363
3073	2809	3048	7716
444	176	670	1155
4587	8789	7985	12093
1200	2346	4023	8553
3825	10380	5251	7358
8208	10906	6036	7061
14631	13150	14941	12387
7898	4713	4006	10444
5082	9958	8143	10160
9006	10297	8032	7054
9726	4238	489	9922
4217	2109	8943	3950
10059	5577	7613	6534
11377	9444	4659	12158
4346	3971	8773	7555
7570	2990	6683	4125
5179	9220	10386	7043
10671	12722	12351	12403
2285	5668	11758	5911
14171	14223	15307	15323
12573	6431	9541	10027
12372	4196	14056	8378
11890	2446	11464	9968
7484	11435	14616	12008
4331	8419	6280	8320
2934	4391	9331	2531
14232	11623	14771	10442
12672	14324	10211	11919
14439	12331	13812	10094
12375	10976	9111	12313
12335	4945	3586	1314
12717	5158	8357	2087
1083	6567	12015	8587
1414	11859	297	13649
6215	15321	7714	13746
10120	4456	13182	12284
2729	10520	7821	12064
3981	7404	12913	7267
11776	13269	13278	13106
7173	9352	8491	5267
14265	14944	13276	13915
12792	14735	10374	12889
9175	10010	6986	5463
5003	5737	9915	6127
13122	13209	13778	11824
3572	7147	736	2108
10534	14302	8602	14047
15224	14361	14515	15044
9931	2857	338	5104
4203	4846	2778	2804
5157	1094	353	4540
4636	1459	1899	3374
8702	11992	14879	11447
12069	2655	5458	2671
14611	13073	12123	12868
9717	11042	11420	12534
15256	4973	9414	10874
10345	96	9472	2624
11227	2950	8769	11741
13587	845	13112	5360
12327	167	14502	8267
12190	3083	12997	7387
15244	2543	12033	7820
12297	2930	14638	12005
11493	7599	13301	12622
12867	193	13962	10435
9356	5824	5283	6888
15466	2678	8916	11473
4782	9376	13731	12348
9306	5164	876	2199
6429	3643	10122	2991
6612	1461	5324	2617
11009	7960	5856	6067
11977	11311	12868	10048
3534	9044	14733	10484
7100	4589	10125	3761
5453	7351	1186	9579
10756	8327	11005	6292
9819	8617	11329	7513
11903	4143	5226	4622
15062	11846	1762	8803
4244	3826	553	6023
12631	1643	1107	10825
8558	7709	11012	6221
7002	601	8378	1184
5581	2754	1333	2619
5879	9560	4224	7899
10526	4830	7068	8370
9417	5606	11408	7419
3602	1019	4618	2686
3702	2958	886	4530
8748	3595	11480	9731
3654	7549	10018	7642
13589	12412	2653	7849
6359	6677	9532	4126
7878	10972	9748	6822
9643	5767	10242	7609
5510	10870	8795	8014
14380	11930	14615	15030
11835	6774	844	2397
13273	14053	12571	13263
7343	7078	6492	12110
3533	12829	11832	14531
14468	14339	3140	12715
3265	13412	9470	14707
6608	11670	9906	12591
4606	873	9424	2712
12340	9539	5355	4731
8135	8154	10361	5374
14027	9269	11167	8288
1303	3616	3922	1261
2829	6170	1159	3409
4146	8872	10028	4949
11018	9142	8587	6944
13030	8369	3578	8644
5529	4099	8922	7195
12898	3527	2104	2275
8712	12541	8320	10041
5851	1846	1913	1338
6376	10583	4621	9627
13473	11231	9671	12705
2928	8497	4003	4662
12690	2471	2702	6762
10248	11634	8754	8806
6133	8039	8659	8306
5343	4560	11444	14203
2629	6882	10819	9866
10888	8704	8653	11547
15147	15352	8774	15189
6394	9183	6718	5591
15230	15197	15356	15343
632	6427	6267	2452
2122	4037	655	1905
3796	6593	11956	13810
676	771	1201	1294
6166	11078	12795	8866
15423	14784	15279	14353
12882	9063	12525	2884
5056	3418	6826	2353
11570	12468	1568	14045
11704	4025	11884	12623
6308	11134	11938	9320
12661	13740	12229	12970
1989	282	7984	4973
8482	6703	7011	7856
9788	10175	5712	9892
4335	348	325	1046
366	4056	963	7591
8178	6731	3866	5988
10982	8390	6458	6995
9146	10985	4934	10614
2440	7849	1996	4137
15448	15386	15453	15436
11453	4574	13607	4855
5351	9573	10441	2432
10382	11493	14457	8413
380	2509	4034	1109
1192	5046	11535	11324
370	3988	2688	19
12534	8695	9145	1388
664	2476	13394	1950
2382	3370	1269	108
6994	10826	4818	5901
2486	1079	314	1770
4492	6506	4661	3946
1873	3913	5294	2821
3350	5358	4734	3275
9596	2063	2019	1120
5886	9156	2586	8028
13153	1661	1540	10434
4037	13442	12520	14488
9902	11024	8889	10537
14738	15209	12735	15374
13951	13151	14645	12173
570	264	5037	1339
9402	9274	10599	9040
1667	2631	6008	5490
8506	8463	8631	11000
11401	3202	11007	11792
5295	13245	4666	10610
9262	10699	4138	4891
6416	5972	4755	2352
6742	4890	4834	6510
4759	13597	14859	11582
6317	7463	8739	9603
8771	9852	5551	8656
2478	1415	9095	7596
4210	8820	1802	10928
7561	6449	3083	11413
2627	4800	5846	8218
3119	3449	2353	6554
1067	2893	1736	3973
8809	4633	3229	11388
6590	13161	11654	3644
7219	12525	8067	10936
9342	9497	8900	10248
3722	2474	6620	3964
8331	11286	13751	13112
11010	4185	11994	8919
12622	7165	8674	6028
14409	10750	9110	13884
11427	14404	14005	13002
9067	11370	11933	14089
3817	5938	11131	11612
7251	4935	5435	2304
2942	2367	3632	3242
5094	10310	9935	11196
7591	12929	7469	13641
12124	11776	8296	14526
1738	5725	7654	3430
3582	7169	2757	6139
267	974	865	1614
351	482	204	159
8099	12115	9537	7957
8321	6268	8507	7055
3589	1294	3999	6705
333	1692	10940	3859
11082	12380	8193	13227
4205	2066	1548	1204
4563	6505	1310	5304
12118	6694	1695	2197
6530	7683	8767	5020
8931	12235	14845	10647
1258	4178	2833	7259
13119	6980	5276	9453
904	168	1143	3480
2325	12874	7953	13382
11237	12765	13512	11210
14097	9817	14170	11545
4513	7022	1075	10739
12829	10193	3724	10290
1610	4012	5760	3585
7796	8949	10648	11209
5093	5631	5422	9281
8057	6984	8617	5322
8058	2864	6369	4350
11899	13353	11205	7234
8141	7987	9388	14382
10148	9771	8534	10956
8961	8416	6958	6769
6268	7536	6483	9819
10999	11805	12729	13856
11532	11424	11961	12594
10528	6182	13245	6836
8778	7059	5703	7297
8272	8169	8701	8033
9978	11497	7775	10740
10778	9069	11076	7944
11697	12344	11555	11868
6557	8259	5728	5664
9844	6746	4949	5682
8262	11232	7896	8121
4825	8198	10405	9534
11120	10915	10774	10012
5101	7410	10936	7229
7073	9032	3370	7547
11182	8393	12417	9245
8196	8425	6163	8166
7499	8561	7718	6474
7055	8481	9781	7630
7431	9584	5063	6247
5431	8653	9395	6715
1898	6622	6678	4233
4614	2983	4604	5665
8334	6358	3559	4356
4779	3437	3323	10919
5135	6271	4915	7615
10123	5636	3994	5283
2975	8627	9342	6773
15467	8674	13488	8626
15468	8673	13489	8625
12901	12408	12631	14338
8343	6114	12332	5089
11219	10196	8431	4367
8998	7574	9728	9402
12093	13334	11687	9279
8234	7729	7082	5395
6159	11195	1260	10172
11628	12690	12949	10180
1185	2416	6912	3330
8177	8391	5662	8256
7803	8473	6677	10022
6482	13822	9712	3592
9737	10817	3681	10080
7929	12691	14110	15014
1796	5969	4316	7472
10527	6050	9577	9776
3236	7817	6520	7244
6079	3472	9225	9526
2264	2130	4069	4833
2527	5760	6000	5826
10143	4297	7048	8777
4654	7307	9819	9536
5089	4794	5529	8440
9644	8494	6969	7042
2511	1636	3517	6704
8241	9298	8903	8120
6288	4482	10027	6740
7559	2193	6681	10400
6620	5373	7815	8788
6903	6652	10921	8614
7001	12021	9137	5636
8002	8321	7406	3903
7325	10582	6139	5800
14250	11204	9630	9767
3471	8544	10552	5070
6297	3882	6956	3195
4381	9060	6991	7148
8899	11869	8470	10786
14007	9636	9082	9069
6865	4401	5808	817
12261	11177	9892	9806
5557	7701	6355	7492
