sample	type
TCGA.50.5931.01	LUAD
TCGA.50.5932.01	LUAD
TCGA.50.5933.01	LUAD
TCGA.50.5935.01	LUAD
TCGA.50.5936.01	LUAD
TCGA.50.5939.01	LUAD
TCGA.50.5941.01	LUAD
TCGA.50.5942.01	LUAD
TCGA.50.5944.01	LUAD
TCGA.50.5946.01	LUAD
TCGA.50.5946.02	LUAD
TCGA.50.6590.01	LUAD
TCGA.50.6591.01	LUAD
TCGA.50.6592.01	LUAD
TCGA.50.6593.01	LUAD
TCGA.50.6594.01	LUAD
TCGA.50.6595.01	LUAD
TCGA.50.6597.01	LUAD
TCGA.50.6673.01	LUAD
TCGA.50.7109.01	LUAD
TCGA.50.8457.01	LUAD
TCGA.50.8459.01	LUAD
TCGA.50.8460.01	LUAD
TCGA.53.7624.01	LUAD
TCGA.53.7626.01	LUAD
TCGA.53.7813.01	LUAD
TCGA.53.A4EZ.01	LUAD
TCGA.55.1592.01	LUAD
TCGA.55.1594.01	LUAD
TCGA.55.1595.01	LUAD
TCGA.55.1596.01	LUAD
TCGA.55.5899.01	LUAD
TCGA.55.6543.01	LUAD
TCGA.55.6642.01	LUAD
TCGA.55.6712.01	LUAD
TCGA.55.6968.01	LUAD
TCGA.55.6969.01	LUAD
TCGA.55.6970.01	LUAD
TCGA.55.6971.01	LUAD
TCGA.55.6972.01	LUAD
TCGA.55.6975.01	LUAD
TCGA.55.6978.01	LUAD
TCGA.55.6979.01	LUAD
TCGA.55.6980.01	LUAD
TCGA.55.6981.01	LUAD
TCGA.55.6982.01	LUAD
TCGA.55.6983.01	LUAD
TCGA.55.6984.01	LUAD
TCGA.55.6985.01	LUAD
TCGA.55.6986.01	LUAD
TCGA.55.6987.01	LUAD
TCGA.55.7227.01	LUAD
TCGA.55.7281.01	LUAD
TCGA.55.7283.01	LUAD
TCGA.55.7284.01	LUAD
TCGA.55.7570.01	LUAD
TCGA.55.7573.01	LUAD
TCGA.55.7574.01	LUAD
TCGA.55.7576.01	LUAD
TCGA.55.7724.01	LUAD
TCGA.55.7725.01	LUAD
TCGA.55.7726.01	LUAD
TCGA.55.7727.01	LUAD
TCGA.55.7728.01	LUAD
TCGA.55.7815.01	LUAD
TCGA.55.7816.01	LUAD
TCGA.55.7903.01	LUAD
TCGA.55.7907.01	LUAD
TCGA.55.7910.01	LUAD
TCGA.55.7911.01	LUAD
TCGA.55.7913.01	LUAD
TCGA.55.7914.01	LUAD
TCGA.55.7994.01	LUAD
TCGA.55.7995.01	LUAD
TCGA.55.8085.01	LUAD
TCGA.55.8087.01	LUAD
TCGA.55.8089.01	LUAD
TCGA.55.8090.01	LUAD
TCGA.55.8091.01	LUAD
TCGA.55.8092.01	LUAD
TCGA.55.8094.01	LUAD
TCGA.55.8096.01	LUAD
TCGA.55.8097.01	LUAD
TCGA.55.8203.01	LUAD
TCGA.55.8204.01	LUAD
TCGA.55.8205.01	LUAD
TCGA.55.8206.01	LUAD
TCGA.55.8207.01	LUAD
TCGA.55.8208.01	LUAD
TCGA.55.8299.01	LUAD
TCGA.55.8301.01	LUAD
TCGA.55.8302.01	LUAD
TCGA.55.8505.01	LUAD
TCGA.55.8506.01	LUAD
TCGA.55.8507.01	LUAD
TCGA.55.8508.01	LUAD
TCGA.55.8510.01	LUAD
TCGA.55.8511.01	LUAD
TCGA.55.8512.01	LUAD
TCGA.55.8513.01	LUAD
TCGA.55.8514.01	LUAD
TCGA.55.8614.01	LUAD
